"","ID","Status","Name","Locus.Tag","NCBI.Acc..","Paralog..","Expr.Sig","SeqType"
"1","CONTIG03559",2,"Aedes aegypti AAEL005961-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001651695",0,"X01","CONTIG"
"2","F5BTJ3O02JNLQO",2,"Aedes aegypti AAEL001673-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001659913",0,"X01","SINGLETON"
"3","CONTIG22800",3,"Aedes aegypti AAEL001673-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001659913",2,"XX1","CONTIG"
"4","CONTIG21906",2,"Drosophila mojavensis GI23222 (Dmoj\GI23222), mRNA","Dmoj\GI23222","XM_001999124",0,"X01","CONTIG"
"5","CONTIG24010",2,"PREDICTED: Acromyrmex echinatior actin-5, muscle-specific-like (LOC105149518), partial mRNA","LOC105149518","XM_011062367",0,"X01","CONTIG"
"6","F5BTJ3O01AOV8M",2,"PREDICTED: Solenopsis invicta actin-5, muscle-specific (LOC105205812), mRNA","LOC105205812","XM_011175332",0,"X01","SINGLETON"
"7","CONTIG23942",2,"Culex quinquefasciatus actin 1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001866828",0,"X01","CONTIG"
"8","CONTIG21034",2,"Culex quinquefasciatus 60S ribosomal protein L15, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001865441",0,"010","CONTIG"
"9","F5BTJ3O01DW4W3",3,"Aedes aegypti AAEL003468-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656793",8,"010","SINGLETON"
"10","F5BTJ3O01A90RM",3,"Drosophila willistoni GK19301 (Dwil\GK19301), mRNA","Dwil\GK19301","XM_002075984",4,"X10","SINGLETON"
"11","CONTIG07975",3,"PREDICTED: Papilio xuthus uncharacterized LOC106114561 (LOC106114561), mRNA","LOC106114561","XM_013307823",4,"101","CONTIG"
"12","F5BTJ3O02G7I4E",3,"PREDICTED: Papilio xuthus uncharacterized LOC106114561 (LOC106114561), mRNA","LOC106114561","XM_013307823",7,"010","SINGLETON"
"13","CONTIG23013",3,"Aedes aegypti AAEL017506-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011495427",5,"X10","CONTIG"
"14","F5BTJ3O02HPX2L",3,"Aedes aegypti AAEL017506-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011495427",10,"001","SINGLETON"
"15","CONTIG11317",2,"Aedes aegypti AAEL012245-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001662303",0,"101","CONTIG"
"16","CONTIG04652",2,"Aedes aegypti AAEL001287-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001652973",0,"010","CONTIG"
"17","CONTIG11455",2,"Culex quinquefasciatus venom allergen 5, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001865141",0,"010","CONTIG"
"18","CONTIG18005",2,"PREDICTED: Athalia rosae uncharacterized LOC105693089 (LOC105693089), mRNA","LOC105693089","XM_012412773",0,"010","CONTIG"
"19","F5BTJ3O01ATARN",3,"Anopheles gambiae str. PEST AGAP001049-PA (AgaP_AGAP001049) mRNA, partial cds","AgaP_AGAP001049","XM_554483",1,"101","SINGLETON"
"20","F5BTJ3O02FVQB5",2,"Aedes aegypti AAEL003172-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656436",0,"010","SINGLETON"
"21","CONTIG16134",3,"Aedes aegypti AAEL003172-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656436",2,"101","CONTIG"
"22","F5BTJ3O02H881N",3,"Aedes aegypti AAEL003172-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656436",7,"X01","SINGLETON"
"23","CONTIG11435",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001842223",0,"011","CONTIG"
"24","F5BTJ3O02FMYBO",2,"Aedes aegypti AAEL002759-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655898",0,"X01","SINGLETON"
"25","CONTIG13090",2,"Culex quinquefasciatus elongation factor 1-alpha 1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001850793",0,"010","CONTIG"
"26","F5BTJ3O02FVYA0",3,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001849544",5,"X10","SINGLETON"
"27","CONTIG12721",3,"Aedes aegypti AAEL003592-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657008",2,"100","CONTIG"
"28","F5BTJ3O01C96AL",3,"Aedes aegypti AAEL003592-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657008",5,"X01","SINGLETON"
"29","F5BTJ3O02FKF6I",3,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001866027",3,"X10","SINGLETON"
"30","CONTIG16132",3,"Aedes aegypti AAEL017299-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011495317",2,"X01","CONTIG"
"31","CONTIG13536",3,"Aedes aegypti AAEL003116-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001663184",1,"010","CONTIG"
"32","F5BTJ3O02HITU1",3,"PREDICTED: Halyomorpha halys uncharacterized LOC106689515 (LOC106689515), partial mRNA","LOC106689515","XM_014434502",3,"101","SINGLETON"
"33","CONTIG18786",3,"Culex quinquefasciatus modifier of mdg4, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001843128",1,"010","CONTIG"
"34","F5BTJ3O01BK3NN",3,"Aedes aegypti AAEL010576-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001654604",1,"101","SINGLETON"
"35","CONTIG10211",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001843114",0,"010","CONTIG"
"36","CONTIG25582",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001843127",0,"010","CONTIG"
"37","F5BTJ3O02H6TYG",2,"Aedes aegypti AAEL017288-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011494629",0,"010","SINGLETON"
"38","CONTIG15356",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001848791",0,"010","CONTIG"
"39","CONTIG22914",2,"Culex quinquefasciatus tropomyosin invertebrate, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001864204",0,"X01","CONTIG"
"40","CONTIG01498",2,"Aedes aegypti AAEL000445-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656388",0,"001","CONTIG"
"41","CONTIG21834",2,"Aedes aegypti AAEL002417-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655171",0,"X01","CONTIG"
"42","CONTIG23951",3,"PREDICTED: Diaphorina citri inositol monophosphatase 2-like (LOC103517929), partial mRNA","LOC103517929","XM_008482977",2,"010","CONTIG"
"43","CONTIG18770",2,"Caenorhabditis elegans 26S ribosomal RNA (rrn-3.1), rRNA","rrn-3.1","NR_000055",0,"X10","CONTIG"
"44","CONTIG22015",3,"Aedes aegypti AAEL005656-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001651169",1,"010","CONTIG"
"45","CONTIG15202",2,"Culex quinquefasciatus single-stranded DNA-binding protein mssp-1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001850499",0,"011","CONTIG"
"46","CONTIG05561",3,"Aedes aegypti AAEL011215-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655138",1,"X10","CONTIG"
"47","CONTIG12519",3,"Lottia gigantea hypothetical protein partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_009050267",1,"010","CONTIG"
"48","CONTIG10010",2,"PREDICTED: Diaphorina citri zinc finger protein 184-like (LOC103514377), mRNA","LOC103514377","XM_008479251",0,"X10","CONTIG"
"49","CONTIG13620",2,"PREDICTED: Wasmannia auropunctata zinc finger protein 271 (LOC105453513), transcript variant X1, mRNA","LOC105453513","XM_011695543",0,"010","CONTIG"
"50","CONTIG15211",2,"PREDICTED: Papilio machaon probable RNA-directed DNA polymerase from transposon BS (LOC106711357), mRNA","LOC106711357","XM_014503661",0,"010","CONTIG"
"51","CONTIG23537",2,"PREDICTED: Bactrocera dorsalis protein yellow (LOC105222324), mRNA","LOC105222324","XM_011199607",0,"010","CONTIG"
"52","CONTIG11449",2,"PREDICTED: Trichogramma pretiosum uncharacterized LOC106650284 (LOC106650284), mRNA","LOC106650284","XM_014368213",0,"010","CONTIG"
"53","CONTIG17798",2,"Aedes aegypti AAEL000172-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001658881",0,"X01","CONTIG"
"54","CONTIG09608",3,"Aedes aegypti AAEL003987-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648180",2,"101","CONTIG"
"55","F5BTJ3O01BIDJS",3,"Aedes aegypti AAEL003987-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648180",4,"X10","SINGLETON"
"56","CONTIG13126",2,"Aedes aegypti AAEL012825-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001662902",0,"X01","CONTIG"
"57","CONTIG12257",3,"Anopheles gambiae str. PEST AGAP003939-PD (AgaP_AGAP003939) mRNA, complete cds","AgaP_AGAP003939","XM_003436618",1,"X10","CONTIG"
"58","F5BTJ3O01DRAJ2",3,"Culex quinquefasciatus endochitinase A, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001869631",3,"010","SINGLETON"
"59","CONTIG13440",2,"Aedes aegypti AAEL003102-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001663116",0,"010","CONTIG"
"60","CONTIG14098",2,"Anopheles gambiae str. PEST AGAP005091-PB (AgaP_AGAP005091) mRNA, complete cds","AgaP_AGAP005091","XM_001688442",0,"101","CONTIG"
"61","CONTIG14096",3,"Culex quinquefasciatus ganglioside induced differentiation associated protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001847459",1,"101","CONTIG"
"62","CONTIG00872",2,"PREDICTED: Harpegnathos saltator sodium/potassium-transporting ATPase subunit alpha (LOC105182517), transcript variant X1, mRNA","LOC105182517","XM_011139998",0,"X01","CONTIG"
"63","CONTIG16870",2,"Anopheles gambiae str. PEST AGAP002858-PC (AgaP_AGAP002858) mRNA, complete cds","AgaP_AGAP002858","XM_003436219",0,"X01","CONTIG"
"64","CONTIG23680",2,"Anopheles gambiae str. PEST AGAP002858-PA (AgaP_AGAP002858) mRNA, complete cds","AgaP_AGAP002858","XM_312058",0,"X01","CONTIG"
"65","CONTIG09556",3,"PREDICTED: Saccoglossus kowalevskii zinc finger protein 658-like (LOC100369171), mRNA","LOC100369171","XM_006814825",2,"101","CONTIG"
"66","CONTIG09016",2,"Aedes aegypti AAEL017464-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011494706",0,"101","CONTIG"
"67","F5BTJ3O01ERLXN",3,"Aedes aegypti AAEL017464-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011494706",1,"X01","SINGLETON"
"68","CONTIG23242",2,"Aedes aegypti AAEL012620-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001662695",0,"X10","CONTIG"
"69","CONTIG12710",2,"Culex quinquefasciatus troponin i, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001864701",0,"001","CONTIG"
"70","CONTIG06460",3,"Culex quinquefasciatus troponin i, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001864701",1,"X01","CONTIG"
"71","CONTIG22672",3,"Anopheles gambiae str. PEST AGAP008228-PA (AgaP_AGAP008228) mRNA, complete cds","AgaP_AGAP008228","XM_317242",1,"X01","CONTIG"
"72","CONTIG00881",3,"Culex quinquefasciatus plasma membrane calcium-transporting ATPase 2, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001847113",1,"011","CONTIG"
"73","CONTIG03714",3,"Culex quinquefasciatus type II transmembrane protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001861546",1,"010","CONTIG"
"74","CONTIG09548",2,"PREDICTED: Hydra vulgaris uncharacterized LOC105846280 (LOC105846280), mRNA","LOC105846280","XM_012704855",0,"X10","CONTIG"
"75","CONTIG22115",2,"Aedes aegypti AAEL014194-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648134",0,"X01","CONTIG"
"76","CONTIG24224",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001867158",0,"X01","CONTIG"
"77","CONTIG12724",2,"Anopheles gambiae str. PEST AGAP001372-PC (AgaP_AGAP001372) mRNA, complete cds","AgaP_AGAP001372","XM_003435764",0,"X01","CONTIG"
"78","CONTIG12926",2,"Aedes aegypti AAEL001953-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001654296",0,"X10","CONTIG"
